game_id,home_team,away_team,bookmaker,market,player,direction,value,price
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Tre Mann,Over,10.5,-115
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Tre Mann,Under,10.5,-111
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Brandon Miller,Over,18.5,-120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Brandon Miller,Under,18.5,-106
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Daniel Gafford,Over,11.5,-106
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Daniel Gafford,Under,11.5,-120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Miles Bridges,Over,22.5,-104
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Miles Bridges,Under,22.5,-122
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Vasilije Micic,Over,11.5,-122
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Vasilije Micic,Under,11.5,-104
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Luka Doncic,Over,30.5,-125
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,fanduel,points,Luka Doncic,Under,30.5,-102
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Over,31.5,-110
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Luka Doncic,Under,31.5,-121
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Over,24.5,-143
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Kyrie Irving,Under,24.5,107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Over,12.5,-136
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,P.J. Washington,Under,12.5,102
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Over,10.5,-127
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Daniel Gafford,Under,10.5,-105
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Over,8.5,120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Derrick Jones,Under,8.5,-167
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Over,21.5,-132
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Miles Bridges,Under,21.5,100
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Over,11.5,-120
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Vasilije Micic,Under,11.5,-112
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Over,19.5,107
c5e653a024326e1ae72231bb1c005328,Charlotte Hornets,Dallas Mavericks,unibet_us,points,Brandon Miller,Under,19.5,-143
